Druh školy skrátený;Typ školy skrátený;Druh 1;Druh 2;Kraj názov;NUTS3;Okres názov;LAU1;Počet organizačných zložiek;Zriaďovateľ - Forma vlastníctva názov;Zriaďovateľ - Typ názov;
GYM;GYM;SŠ;GYM;Banskobystrický;SK032;Banská Bystrica;SK0321;2;cirkevná;cirkev, náboženská spoločnosť;
GYM;GYM;SŠ;GYM;Banskobystrický;SK032;Banská Bystrica;SK0321;1;súkromná;súkromník;
GYM;GYM;SŠ;GYM;Banskobystrický;SK032;Banská Bystrica;SK0321;2;štátna;regionálny úrad školskej správy;
GYM;GYM;SŠ;GYM;Banskobystrický;SK032;Banská Bystrica;SK0321;1;štátna;samosprávny kraj ;
GYM;GYM;SŠ;GYM;Banskobystrický;SK032;Banská Štiavnica;SK0322;1;štátna;samosprávny kraj ;
GYM;GYM;SŠ;GYM;Banskobystrický;SK032;Brezno;SK0323;1;súkromná;súkromník;
GYM;GYM;SŠ;GYM;Banskobystrický;SK032;Brezno;SK0323;1;štátna;samosprávny kraj ;
GYM;GYM;SŠ;GYM;Banskobystrický;SK032;Detva;SK0324;1;štátna;samosprávny kraj ;
GYM;GYM;SŠ;GYM;Banskobystrický;SK032;Krupina;SK0325;1;štátna;samosprávny kraj ;
GYM;GYM;SŠ;GYM;Banskobystrický;SK032;Lučenec;SK0326;1;súkromná;súkromník;
GYM;GYM;SŠ;GYM;Banskobystrický;SK032;Lučenec;SK0326;2;štátna;samosprávny kraj ;
GYM;GYM;SŠ;GYM;Banskobystrický;SK032;Poltár;SK0327;1;štátna;samosprávny kraj ;
GYM;GYM;SŠ;GYM;Banskobystrický;SK032;Revúca;SK0328;1;štátna;samosprávny kraj ;
GYM;GYM;SŠ;GYM;Banskobystrický;SK032;Rimavská Sobota;SK0329;2;cirkevná;cirkev, náboženská spoločnosť;
GYM;GYM;SŠ;GYM;Banskobystrický;SK032;Rimavská Sobota;SK0329;1;štátna;samosprávny kraj ;
GYM;GYM;SŠ;GYM;Banskobystrický;SK032;Veľký Krtíš;SK032A;1;štátna;samosprávny kraj ;
GYM;GYM;SŠ;GYM;Banskobystrický;SK032;Zvolen;SK032B;1;štátna;samosprávny kraj ;
GYM;GYM;SŠ;GYM;Banskobystrický;SK032;Žarnovica;SK032C;1;štátna;samosprávny kraj ;
GYM;GYM;SŠ;GYM;Banskobystrický;SK032;Žiar nad Hronom;SK032D;2;súkromná;súkromník;
GYM;GYM;SŠ;GYM;Banskobystrický;SK032;Žiar nad Hronom;SK032D;1;štátna;samosprávny kraj ;
GYM;GYM;SŠ;GYM;Bratislavský;SK010;Bratislava I;SK0101;2;cirkevná;cirkev, náboženská spoločnosť;
GYM;GYM;SŠ;GYM;Bratislavský;SK010;Bratislava I;SK0101;2;súkromná;súkromník;
GYM;GYM;SŠ;GYM;Bratislavský;SK010;Bratislava I;SK0101;3;štátna;samosprávny kraj ;
GYM;GYM;SŠ;GYM;Bratislavský;SK010;Bratislava II;SK0102;1;cirkevná;cirkev, náboženská spoločnosť;
GYM;GYM;SŠ;GYM;Bratislavský;SK010;Bratislava II;SK0102;3;súkromná;súkromník;
GYM;GYM;SŠ;GYM;Bratislavský;SK010;Bratislava II;SK0102;4;štátna;regionálny úrad školskej správy;
GYM;GYM;SŠ;GYM;Bratislavský;SK010;Bratislava II;SK0102;2;štátna;samosprávny kraj ;
GYM;GYM;SŠ;GYM;Bratislavský;SK010;Bratislava III;SK0103;1;cirkevná;cirkev, náboženská spoločnosť;
GYM;GYM;SŠ;GYM;Bratislavský;SK010;Bratislava III;SK0103;3;súkromná;súkromník;
GYM;GYM;SŠ;GYM;Bratislavský;SK010;Bratislava III;SK0103;1;štátna;samosprávny kraj ;
GYM;GYM;SŠ;GYM;Bratislavský;SK010;Bratislava IV;SK0104;1;cirkevná;cirkev, náboženská spoločnosť;
GYM;GYM;SŠ;GYM;Bratislavský;SK010;Bratislava IV;SK0104;3;súkromná;súkromník;
GYM;GYM;SŠ;GYM;Bratislavský;SK010;Bratislava IV;SK0104;1;štátna;obec, mesto;
GYM;GYM;SŠ;GYM;Bratislavský;SK010;Bratislava IV;SK0104;2;štátna;regionálny úrad školskej správy;
GYM;GYM;SŠ;GYM;Bratislavský;SK010;Bratislava V;SK0105;3;cirkevná;cirkev, náboženská spoločnosť;
GYM;GYM;SŠ;GYM;Bratislavský;SK010;Bratislava V;SK0105;4;súkromná;súkromník;
GYM;GYM;SŠ;GYM;Bratislavský;SK010;Bratislava V;SK0105;2;štátna;samosprávny kraj ;
GYM;GYM;SŠ;GYM;Bratislavský;SK010;Malacky;SK0106;1;cirkevná;cirkev, náboženská spoločnosť;
GYM;GYM;SŠ;GYM;Bratislavský;SK010;Malacky;SK0106;1;štátna;samosprávny kraj ;
GYM;GYM;SŠ;GYM;Bratislavský;SK010;Pezinok;SK0107;2;štátna;samosprávny kraj ;
GYM;GYM;SŠ;GYM;Bratislavský;SK010;Senec;SK0108;2;štátna;samosprávny kraj ;
GYM;GYM;SŠ;GYM;Košický;SK042;Gelnica;SK0421;1;štátna;samosprávny kraj ;
GYM;GYM;SŠ;GYM;Košický;SK042;Košice - okolie;SK0426;1;cirkevná;cirkev, náboženská spoločnosť;
GYM;GYM;SŠ;GYM;Košický;SK042;Košice - okolie;SK0426;1;štátna;samosprávny kraj ;
GYM;GYM;SŠ;GYM;Košický;SK042;Košice I;SK0422;3;cirkevná;cirkev, náboženská spoločnosť;
GYM;GYM;SŠ;GYM;Košický;SK042;Košice I;SK0422;1;súkromná;súkromník;
GYM;GYM;SŠ;GYM;Košický;SK042;Košice I;SK0422;2;štátna;regionálny úrad školskej správy;
GYM;GYM;SŠ;GYM;Košický;SK042;Košice I;SK0422;3;štátna;samosprávny kraj ;
GYM;GYM;SŠ;GYM;Košický;SK042;Košice II;SK0423;1;cirkevná;cirkev, náboženská spoločnosť;
GYM;GYM;SŠ;GYM;Košický;SK042;Košice II;SK0423;2;súkromná;súkromník;
GYM;GYM;SŠ;GYM;Košický;SK042;Košice II;SK0423;1;štátna;samosprávny kraj ;
GYM;GYM;SŠ;GYM;Košický;SK042;Košice III;SK0424;1;cirkevná;cirkev, náboženská spoločnosť;
GYM;GYM;SŠ;GYM;Košický;SK042;Košice III;SK0424;1;súkromná;súkromník;
GYM;GYM;SŠ;GYM;Košický;SK042;Košice IV;SK0425;1;súkromná;súkromník;
GYM;GYM;SŠ;GYM;Košický;SK042;Košice IV;SK0425;2;štátna;samosprávny kraj ;
