Číselný kód obce,Názov obce,Názov okresu,Názov kraja,NDC,PO
507814,Bernolákovo,Senec,Bratislavský,2,BA
503681,Boldog,Senec,Bratislavský,2,BA
507831,Borinka,Malacky,Bratislavský,2,BA
582000,Bratislava   ,,Bratislavský,2,BA
529435,Bratislava - mestská časť Čunovo,Bratislava V,Bratislavský,2,BA
529401,Bratislava - mestská časť Devín,Bratislava IV,Bratislavský,2,BA
529371,Bratislava - mestská časť Devínska Nová Ves,Bratislava IV,Bratislavský,2,BA
529389,Bratislava - mestská časť Dúbravka,Bratislava IV,Bratislavský,2,BA
529443,Bratislava - mestská časť Jarovce,Bratislava V,Bratislavský,2,BA
529397,Bratislava - mestská časť Karlova Ves,Bratislava IV,Bratislavský,2,BA
529419,Bratislava - mestská časť Lamač,Bratislava IV,Bratislavský,2,BA
529346,Bratislava - mestská časť Nové Mesto,Bratislava III,Bratislavský,2,BA
529460,Bratislava - mestská časť Petržalka,Bratislava V,Bratislavský,2,BA
529311,Bratislava - mestská časť Podunajské Biskupice,Bratislava II,Bratislavský,2,BA
529354,Bratislava - mestská časť Rača,Bratislava III,Bratislavský,2,BA
529494,Bratislava - mestská časť Rusovce,Bratislava V,Bratislavský,2,BA
529320,Bratislava - mestská časť Ružinov,Bratislava II,Bratislavský,2,BA
528595,Bratislava - mestská časť Staré Mesto,Bratislava I,Bratislavský,2,BA
529362,Bratislava - mestská časť Vajnory,Bratislava III,Bratislavský,2,BA
529338,Bratislava - mestská časť Vrakuňa,Bratislava II,Bratislavský,2,BA
529427,Bratislava - mestská časť Záhorská Bystrica,Bratislava IV,Bratislavský,2,BA
545333,Dunajská Lužná,Senec,Bratislavský,2,BA
507903,Hamuliakovo,Senec,Bratislavský,2,BA
503797,Hrubá Borša,Senec,Bratislavský,2,BA
503801,Hrubý Šúr,Senec,Bratislavský,2,BA
503819,Hurbanova Ves,Senec,Bratislavský,2,BA
507911,Chorvátsky Grob,Senec,Bratislavský,2,BA
507938,Ivanka pri Dunaji,Senec,Bratislavský,2,BA
507997,Kalinkovo,Senec,Bratislavský,2,BA
503851,Kostolná pri Dunaji,Senec,Bratislavský,2,BA
503894,Kráľová pri Senci,Senec,Bratislavský,2,BA
508055,Lozorno,Malacky,Bratislavský,2,BA
508071,Malinovo,Senec,Bratislavský,2,BA
508080,Marianka,Malacky,Bratislavský,2,BA
508098,Miloslavov,Senec,Bratislavský,2,BA
508110,Most pri Bratislave,Senec,Bratislavský,2,BA
508136,Nová Dedinka,Senec,Bratislavský,2,BA
503983,Reca,Senec,Bratislavský,2,BA
508209,Rovinka,Senec,Bratislavský,2,BA
508217,Senec,Senec,Bratislavský,2,BA
508233,Stupava,Malacky,Bratislavský,2,BA
507989,Svätý Jur,Pezinok,Bratislavský,2,BA
508276,Tomášov,Senec,Bratislavský,2,BA
508284,Tureň,Senec,Bratislavský,2,BA
508292,Veľký Biel,Senec,Bratislavský,2,BA
508331,Vlky,Senec,Bratislavský,2,BA
508349,Vysoká pri Morave,Malacky,Bratislavský,2,BA
555509,Zálesie,Senec,Bratislavský,2,BA
508381,Zohor,Malacky,Bratislavský,2,BA
503673,Abrahám,Galanta,Trnavský,31,DUST
501441,Báč,Dunajská Streda,Trnavský,31,DUST
501450,Baka,Dunajská Streda,Trnavský,31,DUST
501468,Baloň,Dunajská Streda,Trnavský,31,DUST
555517,Bellova Ves,Dunajská Streda,Trnavský,31,DUST
501484,Blahová,Dunajská Streda,Trnavský,31,DUST
501492,Blatná na Ostrove,Dunajská Streda,Trnavský,31,DUST
503461,Bodíky,Dunajská Streda,Trnavský,31,DUST
501506,Boheľov,Dunajská Streda,Trnavský,31,DUST
501514,Čakany,Dunajská Streda,Trnavský,31,DUST
580554,Čenkovce,Dunajská Streda,Trnavský,31,DUST
503690,Čierna Voda,Galanta,Trnavský,31,DUST
503703,Čierny Brod,Galanta,Trnavský,31,DUST
501531,Čiližská Radvaň,Dunajská Streda,Trnavský,31,DUST
503711,Diakovce,Šaľa,Nitriansky,31,DUST
503720,Dlhá nad Váhom,Šaľa,Nitriansky,31,DUST
501549,Dobrohošť,Dunajská Streda,Trnavský,31,DUST
